日期,收市,開市,高,低,成交量,升跌（%）
2020年9月11日,"10,390.20","10,339.80","10,398.80","10,212.60",62.28K,0.49%
2020年9月12日,"10,441.90","10,390.20","10,476.80","10,275.90",48.49K,0.50%
2020年9月13日,"10,326.00","10,441.70","10,579.60","10,219.40",66.12K,-1.11%
2020年9月14日,"10,675.30","10,332.70","10,744.30","10,264.50",96.64K,3.38%
2020年9月15日,"10,785.30","10,675.20","10,931.80","10,627.80",91.70K,1.03%
2020年9月16日,"10,949.50","10,785.20","11,093.30","10,669.20",94.94K,1.52%
2020年9月17日,"10,941.30","10,950.10","11,039.30","10,755.20",77.22K,-0.07%
2020年9月18日,"10,933.00","10,941.30","11,029.70","10,818.70",63.48K,-0.08%
2020年9月19日,"11,081.80","10,933.00","11,177.10","10,890.70",51.63K,1.36%
2020年9月20日,"10,921.50","11,081.60","11,081.60","10,772.70",53.39K,-1.45%
2020年9月21日,"10,416.80","10,919.90","10,987.20","10,328.50",109.85K,-4.62%
2020年9月22日,"10,531.50","10,419.40","10,570.70","10,361.70",63.52K,1.10%
2020年9月23日,"10,237.30","10,531.50","10,535.40","10,146.60",74.95K,-2.79%
2020年9月24日,"10,739.40","10,238.10","10,787.80","10,201.00",82.95K,4.90%
2020年9月25日,"10,688.80","10,739.90","10,756.00","10,558.90",71.43K,-0.47%
2020年9月26日,"10,727.90","10,688.90","10,793.30","10,650.20",37.85K,0.37%
2020年9月27日,"10,776.20","10,727.90","10,799.20","10,602.70",40.92K,0.45%
2020年9月28日,"10,693.20","10,776.40","10,946.60","10,685.20",72.29K,-0.77%
2020年9月29日,"10,840.90","10,694.30","10,858.40","10,642.40",59.64K,1.38%
2020年9月30日,"10,776.10","10,843.40","10,847.70","10,667.60",55.55K,-0.60%
2020年10月1日,"10,620.50","10,776.60","10,913.70","10,462.70",95.33K,-1.44%
2020年10月2日,"10,572.30","10,619.60","10,662.90","10,387.60",77.94K,-0.45%
2020年10月3日,"10,544.20","10,572.20","10,597.80","10,501.20",29.10K,-0.27%
2020年10月4日,"10,672.90","10,544.40","10,693.30","10,520.80",31.40K,1.22%
2020年10月5日,"10,789.50","10,672.50","10,789.60","10,623.40",48.86K,1.09%
2020年10月6日,"10,602.60","10,790.20","10,800.30","10,530.80",69.07K,-1.73%
2020年10月7日,"10,670.90","10,601.00","10,680.10","10,553.30",49.27K,0.64%
2020年10月8日,"10,924.10","10,670.70","10,948.60","10,549.60",79.78K,2.37%
2020年10月9日,"11,054.20","10,923.50","11,103.00","10,836.90",70.95K,1.19%
2020年10月10日,"11,298.40","11,053.50","11,475.00","11,053.10",65.81K,2.21%
2020年10月11日,"11,371.00","11,295.60","11,439.40","11,277.60",41.06K,0.64%
2020年10月12日,"11,533.90","11,370.80","11,715.90","11,227.40",84.02K,1.43%
2020年10月13日,"11,423.80","11,533.50","11,558.00","11,315.90",64.67K,-0.95%
2020年10月14日,"11,420.40","11,424.40","11,541.00","11,293.50",59.12K,-0.03%
2020年10月15日,"11,503.00","11,421.40","11,590.90","11,276.70",70.84K,0.72%
2020年10月16日,"11,322.00","11,503.20","11,542.20","11,224.60",71.42K,-1.57%
2020年10月17日,"11,362.10","11,321.80","11,402.70","11,274.40",29.86K,0.35%
2020年10月18日,"11,506.90","11,362.10","11,506.90","11,349.80",31.51K,1.27%
2020年10月19日,"11,753.40","11,507.10","11,823.30","11,413.90",73.04K,2.14%
2020年10月20日,"11,913.50","11,753.90","12,029.40","11,685.70",94.59K,1.36%
2020年10月21日,"12,808.70","11,913.60","13,213.50","11,894.60",197.72K,7.51%
2020年10月22日,"12,974.60","12,805.50","13,183.90","12,698.20",113.31K,1.30%
2020年10月23日,"12,934.10","12,972.70","13,025.50","12,738.90",73.94K,-0.31%
2020年10月24日,"13,117.20","12,933.60","13,161.50","12,876.40",51.20K,1.42%
2020年10月25日,"13,032.20","13,117.00","13,345.30","12,900.40",59.73K,-0.65%
2020年10月26日,"13,061.60","13,033.00","13,229.70","12,792.40",89.47K,0.23%
2020年10月27日,"13,657.80","13,061.50","13,782.30","13,050.30",128.64K,4.56%
2020年10月28日,"13,278.90","13,658.30","13,851.70","12,907.60",144.18K,-2.77%
2020年10月29日,"13,457.20","13,278.30","13,640.00","12,982.90",111.23K,1.34%
2020年10月30日,"13,559.90","13,457.00","13,667.90","13,134.50",108.77K,0.76%
2020年10月31日,"13,797.30","13,560.20","14,065.40","13,441.70",102.75K,1.75%
2020年11月1日,"13,759.40","13,795.50","13,889.50","13,628.70",51.71K,-0.27%
2020年11月2日,"13,561.40","13,759.70","13,828.40","13,214.20",97.76K,-1.44%
2020年11月3日,"14,019.90","13,560.50","14,054.00","13,294.60",108.17K,3.38%
2020年11月4日,"14,145.60","14,023.00","14,238.80","13,544.40",140.80K,0.90%
2020年11月5日,"15,587.10","14,145.60","15,739.90","14,099.70",227.49K,10.19%
2020年11月6日,"15,577.90","15,593.90","15,955.20","15,223.50",186.13K,-0.06%
2020年11月7日,"14,828.40","15,578.20","15,754.40","14,385.10",160.73K,-4.81%
2020年11月8日,"15,483.70","14,826.60","15,648.30","14,720.70",94.99K,4.42%
2020年11月9日,"15,327.20","15,483.30","15,819.60","14,816.90",165.04K,-1.01%
2020年11月10日,"15,303.60","15,328.00","15,465.30","15,096.50",93.36K,-0.15%
2020年11月11日,"15,695.80","15,303.10","15,953.90","15,281.00",119.07K,2.56%
2020年11月12日,"16,294.70","15,695.80","16,342.70","15,483.50",165.54K,3.82%
2020年11月13日,"16,324.20","16,293.00","16,474.10","15,973.40",113.75K,0.18%
2020年11月14日,"16,071.00","16,323.10","16,328.20","15,717.70",83.64K,-1.55%
